-0.059569,0.01268,-0.0029102,150.54,1.044e-05,0.3,2.2508e-07
-0.059569,0.0054881,-0.0011146,150.91,6.847e-06,0.29995,0.020999
-0.059569,-0.0026115,0.00040265,150.24,4.0274e-06,0.29982,0.041995
-0.059569,-0.014106,0.000458,151.27,1.8272e-06,0.2996,0.062982
-0.059568,-0.0013178,-0.0041874,149.5,1.0633e-07,0.29928,0.083957
-0.059567,0.0071224,0.0057872,149.82,-1.2627e-06,0.29888,0.10492
-0.059567,0.015414,0.00080477,150.46,-2.3958e-06,0.29838,0.12586
-0.059566,-0.0073148,0.0042703,151.85,-3.3981e-06,0.2978,0.14677
-0.059565,-0.0031444,-0.0051238,149.97,-4.3647e-06,0.29712,0.16766
-0.059563,0.0028001,-0.00097272,151.1,-5.3818e-06,0.29636,0.18851
-0.059562,0.0016345,-0.0058179,148.55,-6.527e-06,0.29551,0.20933
-0.05956,0.008514,-0.00090362,148.98,-7.8701e-06,0.29456,0.23011
-0.059559,-0.006315,0.0033016,150.09,-9.4742e-06,0.29353,0.25085
-0.059557,-0.0040955,0.0021546,151.3,-1.1396e-05,0.29241,0.27153
-0.059555,-0.011107,0.0017714,149.55,-1.3685e-05,0.2912,0.29217
-0.059553,-0.0010916,0.003743,149.07,-1.6389e-05,0.28991,0.31275
-0.05955,-0.002415,-0.0056332,148.46,-1.9546e-05,0.28852,0.33327
-0.059548,-0.0079998,0.0048402,151.32,-2.3195e-05,0.28705,0.35372
-0.059545,-0.0058055,0.0028427,150.2,-2.7367e-05,0.28549,0.37411
-0.059542,-0.0048803,0.005662,148.25,-3.2092e-05,0.28384,0.39443
-0.05954,0.010767,0.0069897,151.81,-3.7396e-05,0.2821,0.41467
-0.059536,-0.0084352,-0.00099175,148.65,-4.3303e-05,0.28028,0.43483
-0.059533,-0.012599,0.0069493,149.36,-4.9835e-05,0.27837,0.45491
-0.05953,0.012125,0.0067905,148.3,-5.7011e-05,0.27637,0.4749
-0.059527,-0.0011651,0.0055416,148.77,-6.4848e-05,0.27429,0.4948
-0.059523,0.002111,0.0068842,150.56,-7.3364e-05,0.27212,0.5146
-0.059519,0.012695,-0.0024053,151.57,-8.2574e-05,0.26986,0.53431
-0.059515,-0.010209,-0.0062206,151.84,-9.2491e-05,0.26753,0.55391
